label	url
BNY Mellon Compass Fund - Global High Yield Bond Fund 	/fonds/wkn/A0D9C4
Boersenampel Fonds Global	/fonds/wkn/976326
BREMEN TRUST-WARBURG - FONDS	/fonds/wkn/848899
BS Best Strategies UL Fonds - Trend & Value	/fonds/wkn/A0MLQE
BS Best Strategies UL Fonds - Trend & Value	/fonds/wkn/A0MLQF
BSF European Opportunities Extension Fund	/fonds/wkn/A0MYJN
BW-RENTA-INTERNATIONAL-UNIVERSAL-FONDS	/fonds/wkn/848367
BW-RENTA-UNIVERSAL-FONDS	/fonds/wkn/849154
C QUADRAT ARTS Best Momentum 	/fonds/wkn/541664
C QUADRAT ARTS TOTAL RETURN GLOBAL AMI A	/fonds/wkn/A0F5G9
C-QUADRAT ARTS Total Return Balanced	/fonds/wkn/A0B6WX
C-QUADRAT ARTS Total Return Balanced	/fonds/wkn/A0NFHF
C-QUADRAT ARTS Total Return Garant	/fonds/wkn/A0LFPX
C-QUADRAT Gold & Resources Fund	/fonds/wkn/A0M6AK
Candriam Bonds Emerging Markets	/fonds/wkn/722618
Candriam Bonds Emerging Markets	/fonds/wkn/989915
Candriam Bonds Euro	/fonds/wkn/973195
Candriam Bonds Euro Government Investment Grade	/fonds/wkn/973597
Candriam Bonds Euro Long Term	/fonds/wkn/935878
Candriam Bonds International	/fonds/wkn/974658
Candriam Bonds USD	/fonds/wkn/974924
Candriam Equities L Australia	/fonds/wkn/987193
Candriam Equities L Biotechnology	/fonds/wkn/939838
Candriam Equities L Emerging Markets	/fonds/wkn/989643
Candriam Equities L Emerging Markets	/fonds/wkn/989644
Candriam Equities L Euro 50	/fonds/wkn/973591
Candriam Equities L Euro 50	/fonds/wkn/971325
Candriam Equities L Europe	/fonds/wkn/989646
Candriam Equities L Europe	/fonds/wkn/989645
Candriam Equities L Germany	/fonds/wkn/987090
Candriam Equities L Japan	/fonds/wkn/987088
Candriam Equities L Sustainable World	/fonds/wkn/578003
Candriam Equities L Sustainable World	/fonds/wkn/578004
Candriam Equities L United Kingdom	/fonds/wkn/987185
Candriam Quant Equities USA	/fonds/wkn/A0B909
Candriam Sustainable Europe	/fonds/wkn/550962
Candriam Sustainable Low	/fonds/wkn/550966
Candriam Sustainable Medium	/fonds/wkn/550967
Candriam Sustainable North America	/fonds/wkn/550963
Candriam Sustainable Pacific	/fonds/wkn/550965
Capital International Emerging Markets Fund	/fonds/wkn/926370
Capital International European Growth and Income	/fonds/wkn/806158
Capital International Global Equity	/fonds/wkn/940664
Carmignac Commodities	/fonds/wkn/914233
CARMIGNAC COURT TERME	/fonds/wkn/A0DP52
CARMIGNAC EMERGENTS	/fonds/wkn/A0DPX3
Carmignac Emerging Discovery	/fonds/wkn/A0M9A1
Carmignac Emerging Patrimoine	/fonds/wkn/A1H7X0
CARMIGNAC EURO ENTREPRENEURS	/fonds/wkn/A0DP5Z
CARMIGNAC EURO PATRIMOINE	/fonds/wkn/A0DP5Y
Carmignac Investissement	/fonds/wkn/A0DP5W
Carmignac Patrimoine	/fonds/wkn/A0PGS3
Carmignac Patrimoine	/fonds/wkn/A0DPW0
Carmignac Portfolio-Grande Europe	/fonds/wkn/A0DKM6
Carmignac Profil Réactif 50	/fonds/wkn/A0ETJD
Carmignac Profil Réactif 75	/fonds/wkn/A0ETJC
CARMIGNAC S CURIT 	/fonds/wkn/A0DP51
CARNEGIE EAST EUROPEAN	/fonds/wkn/A0F5GU
Carnegie Fund Worldwide	/fonds/wkn/A0BKZL
Challenge Germany Equity Fund	/fonds/wkn/803304
CHART High Value/Yield Fund	/fonds/wkn/984343
Clariden Leu (Lux) Energy Equity	/fonds/wkn/A0JDY3
Claymore/MAC Global Solar Energy Index ETF	/fonds/wkn/A1JT66
CONCEPT AURELIA GLOBAL	/fonds/wkn/A0Q8A0
Continental European Fund	/fonds/wkn/A0DQTL
Core Euro Corporate Bond UCITS ETF	/fonds/wkn/A0RGEP
Craton Capital Precious Metal Fund	/fonds/wkn/964907
